Название гранта;Ссылка;Описание;Дедлайн;Место
Seymartec Digital. Автоматизация металлургического процесса 2020;https://expomap.ru/conference/seymartec-digital-avtomatizatsija-metallurgicheskogo-protsessa-2020/;Международный форум;17 июня 202014 апреля 2021;Россия, Челябинск
Seymartec Energy. Энергоэффективность металлургического производства 2020;https://expomap.ru/conference/seymartec-energy-energoeffektivnost-metallurgicheskogo-proizvodstva-2020/;Международная конференция;18 июня 202014 апреля 2021;Россия, Челябинск
BTS Annual Congress 2021;https://expomap.ru/conference/bts-annual-congress-2021/;Конгресс токсикологов;"с

            
                12
            

            по

            
                14 апреля";Великобритания, Кардифф
WCCE 2021;https://expomap.ru/conference/wcce-2021/;Международная химическая конференция и выставка;"с

            
                12
            

            по

            
                14 апреля";Великобритания, Лондон
Международный BIM-форум 2021;https://expomap.ru/conference/mezhdunarodnyj-bim-forum-2021/;Форум по диджитализации и BIM-технологиям в строительной отрасли;"с

            
                13
            

            по

            
                14 апреля";Россия, Москва
Цифровое предприятие 2021;https://expomap.ru/conference/tsifrovoe-predprijatie-2021/;Форум;"с

            
                13
            

            по

            
                14 апреля";Россия, Москва
WellFood Ingredients 2021;https://expomap.ru/conference/wellfood-ingredients-2021/;Международный саммит по пищевым натуральным ингредиентам;"с

            
                14
            

            по

            
                15 апреляНовые даты не анонсированы";Бразилия, Сан-Паулу
Drive World Conference 2021;https://expomap.ru/conference/drive-world-conference-2021/;Конференция по электронике в автомобилестроении;"с

            
                26
            

            по

            
                28 январяс

            
                13
            

            по

            
                15 апреля";США, Сан-Хосе
SPIE Defense + Commercial Sensing 2021;https://expomap.ru/conference/spie-defense-commercial-sensing-2021/;Выставка технологий безопасности, обороны и технологий дистанционного сбора данных;"с

            
                11
            

            по

            
                15 апреля";США, Анахайм
DesignCon 2021;https://expomap.ru/conference/designcon-2021/;Международная конференция по проектированию электроники;"с

            
                13
            

            по

            
                15 апреля";США, Сан-Хосе
Transport Evolution Mozambique Forum & Showcase 2021;https://expomap.ru/conference/transport-evolution-mozambique-forum-showcase-2021/;Транспортный форум и выставка;"с

            
                13
            

            по

            
                15 апреля";Мозамбик, Мапуту
Georgia Gambling Conference 2021;https://expomap.ru/conference/georgia-gambling-conference-2021/;Конференция по игорному бизнесу;15 апреля 2021;Грузия, Тбилиси
Customer Day B2B 2021;https://expomap.ru/conference/customer-day-2021/;Конференция о клиентском опыте (СХ) в B2B (оффлайн+онлайн);"с

            
                14
            

            по

            
                15 апреля";Россия, Москва
Энергетическое и промышленное страхование 2021;https://expomap.ru/conference/energeticheskoe-i-promyshlennoe-strahovanie-2021/;Международная конференция;"с

            
                15
            

            по

            
                16 апреля";Россия, Санкт-Петербург
Евразийская Неделя Бизнеса 2021;https://expomap.ru/conference/evrazijskaya-nedelya-biznesa-2021/;Бизнес-форум (оффлайн+онлайн);"с

            
                15
            

            по

            
                16 апреля";Россия, Екатеринбург
Как получить +100% к продажам за год. Строим систему: от стратегии до KPI 2021;https://expomap.ru/conference/kak-poluchit-100-k-prodazham-za-god-stroim-sistemu-ot-strategii-do-kpi-2021/;Бизнес-завтрак;16 апреля 2021;Россия, Москва
Retail CFO 2021;https://expomap.ru/conference/retail-cfo-2021/;Форум финансовых директоров розничного бизнеса;"с

            
                15
            

            по

            
                16 апреля";Россия, Москва
IT Day Stuttgart 2021;https://expomap.ru/conference/it-day-stuttgart-2021/;Специализированный форум специалистов по информатике;17 апреля 2021;Германия, Штутгарт
SQA Days 2021;https://expomap.ru/conference/sqa-days-2021/;Международная конференция по обеспечению качества ПО;"с

            
                16
            

            по

            
                17 апреля";Россия, Санкт-Петербург
International Knee Update 2021;https://expomap.ru/conference/international-knee-update-2021/;Конференция по артропластике;"с

            
                15
            

            по

            
                17 апреля";Швейцария, Давос
International Congress for Joint Reconstruction (ICJR) 2021;https://expomap.ru/conference/international-congress-for-joint-reconstruction-icjr-2021/;Международный конгресс по совместному восстановлению Ближнего Востока;"с

            
                15
            

            по

            
                17 апреля";ОАЭ, Дубай
EFCLIN Congress and Exhibition Berlin 2021;https://expomap.ru/conference/efclin-congress-and-exhibition-berlin-2021/;Конгресс производителей и разработчиков контактных линз;"с

            
                15
            

            по

            
                17 апреля";Германия, Берлин
International Rubber Conference (IRC) 2021;https://expomap.ru/conference/international-rubber-conference-irc-2021/;Международная конференция производителей резины;"с

            
                15
            

            по

            
                17 апреля";Индия, Ченнаи
MICE Forum Sochi 2021;https://expomap.ru/conference/mice-forum-sochi-2021/;Форум представителей event-индустрии;"с

            
                15
            

            по

            
                17 апреля";Россия, Сочи
RADLA 2021;https://expomap.ru/conference/radla-2020/;Конференция дерматологов;"с

            
                15
            

            по

            
                18 апреля";Онлайн, Веб
Japan Radiological Congress (JRC) 2021;https://expomap.ru/conference/japan-radiological-congress-jrc-2021/;Радиологический конгресс (оффлайн+ онлайн);"с

            
                15
            

            по

            
                18 апреля";Япония, Йокогама
HPCO Conference 2021;https://expomap.ru/conference/hpco-conference-2021/;Конференция по здравоохранению;"с

            
                18
            

            по

            
                20 апреля";Онлайн, Веб
Фармацевтика. Адаптация регионов к мировым изменениям 2021;https://expomap.ru/conference/farmatsevtika-adaptatsija-regionov-k-mirovym-izmenenijam-2021/;Конференция (оффлайн+онлайн);20 апреля 2021;Россия, Новосибирск
Eurosime 2021;https://expomap.ru/conference/eurosime-2021/;Международная конференция по тепловому, механическому и мультифизическому моделированию и экспериментам в микроэлектронике и микросистемах;"с

            
                19
            

            по

            
                21 апреля";Онлайн, Веб
MedTech Summit 2021;https://expomap.ru/conference/medtech-summit-2021/;Выставка медицинских технологий;"с

            
                20
            

            по

            
                22 апреля";Онлайн, Веб
Insure NXT | CGN 2021;https://expomap.ru/conference/insure-nxt-cgn-2021/;Международная конференция страховой индустрии;"с

            
                21
            

            по

            
                22 апреля";Онлайн, Веб
OPIС Congress 2021;https://expomap.ru/conference/opis-congress-2021/;Международный конгресс по оптике и фотонике (оффлайн+онлайн);"с

            
                19
            

            по

            
                22 апреля";Япония, Йокогама
Japan LNG & Gas Summit 2021;https://expomap.ru/conference/japan-lng-gas-summit-2021/;Саммит по СПГ;"с

            
                2
            

            по

            
                3 февраляс

            
                20
            

            по

            
                22 апреля";Япония, Токио
Seymartec Milk Production. Экономическая эффективность переработки молока и технологические инновации 2020;https://expomap.ru/conference/seymartec-milk--production-2020/;Международный форум;9 декабря 202022 апреля 2021;Россия, Москва
Blockchain Life 2021;https://expomap.ru/conference/blockchain-life-2021/;Международный форум по блокчейну, криптовалюте и майнингу;"с

            
                21
            

            по

            
                22 апреля";Россия, Москва
SEYMARTEC MILK. Экономическая и технологическая эффективность молочного животноводства и переработки молока 2021;https://expomap.ru/conference/seymartec-milk-econ-tech-efficency-2021/;Международный форум;10 февраля 202122 апреля 2021;Россия, Москва
Налоговое планирование в ритейле 2021;https://expomap.ru/conference/nalogovoe-planirovanie-v-ritejle-2021/;Конференция по налогам;22 апреля 2021;Россия, Москва
Independent Planner Education Conference (IPEC) 2021;https://expomap.ru/conference/independent-planner-education-conference-ipec-2021/;Образовательная конференция специалистов индустрии встреч;"с

            
                27
            

            по

            
                30 январяс

            
                21
            

            по

            
                23 апреля";США, Луисвилл
Rigas Sporta Sumits / Рижский саммит спорта 2021;https://expomap.ru/conference/rigas-sporta-sumits-rizhskij-sammit-sporta-2021/;Конференция для вдохновения и роста специалистов, энтузиастов спорта и сторонников здорового образа жизни;23 апреля 2021;Латвия, Рига
Санкт-Петербургский Международный Форум Труда 2021;https://expomap.ru/conference/sankt-peterburgskij-mezhdunarodnyj-forum-truda-2021/;Форум;"с

            
                22
            

            по

            
                23 апреля";Россия, Санкт-Петербург
ТЭФ 2021;https://expomap.ru/conference/tef-2021/;Татарстанский международный форум по энергоресурсоэффективности и экологии;"с

            
                21
            

            по

            
                23 апреля";Россия, Казань
Российский международный энергетический форум (РМЭФ) 2021;https://expomap.ru/conference/rossijskij-mezhdunarodnyj-energeticheskij-forum-rmef-2021/;Отраслевой конгресс и выставка;"с

            
                21
            

            по

            
                23 апреля";Россия, Санкт-Петербург
Крепеж. Качество и ответственность 2021;https://expomap.ru/conference/krepezh-kachestvo-i-otvetstvennost-2021/;Международная конференция (оффлайн+онлайн);"с

            
                22
            

            по

            
                23 апреля";Россия, Санкт-Петербург
Амбулаторно-поликлиническая помощь в эпицентре женского здоровья от менархе до менопаузы 2021;https://expomap.ru/conference/ambulatorno-poliklinicheskaja-pomosch-v-epitsentre-zhenskogo-zdorovja-ot-menarhe-do-menopauzy-2021/;Всероссийский конгресс с международным участием и специализированной экспозицией;"с

            
                21
            

            по

            
                23 апреля";Россия, Москва
Информационные технологии в бюджетировании 2021;https://expomap.ru/conference/informatsionnyie-tehnologii-v-byudzhetirovanii-2021/;Конференция;23 апреля 2021;Россия, Москва
Hillsong Colour Conference Cape Town 2021;https://expomap.ru/conference/hillsong-colour-conference-cape-town-2021/;Всемирная женская конференция;"с

            
                21
            

            по

            
                24 апреля";Южно-Африканская Республика, Кейптаун
Российские дни сердца 2021;https://expomap.ru/conference/rossijskie-dni-serdtsa-2021/;Международный образовательный форум в области кардиологии;"с

            
                22
            

            по

            
                24 апреля";Россия, Санкт-Петербург
Congress of the ESPU 2021;https://expomap.ru/conference/congress-of-the-espu-2021/;Конгресс детских урологов;"с

            
                21
            

            по

            
                24 апреля";Португалия, Лиссабон
Новые горизонты в челюстно лицевой хирургии. Киев - Марбург 2021;https://expomap.ru/conference/new-horizons-in-maxillofacial-surgery-kyiv-marburg-2021/;Международная конференция по челюстно-лицевой хирургии;"с

            
                23
            

            по

            
                24 апреля";Украина, Киев
Боткинские чтения 2021;https://expomap.ru/conference/botkinskie-chtenija-2021/;Всероссийский терапевтический конгресс с международным участием;"с

            
                23
            

            по

            
                24 апреля";Россия, Санкт-Петербург
EHRA Europace-Cardiostim 2021;https://expomap.ru/conference/ehra-europace-cardiostim-2021/;Европейская конференция по сердечным аритмиям;"с

            
                28
            

            по

            
                30 мартас

            
                23
            

            по

            
                25 апреля";Онлайн, Веб
Toronto Naturopathic Conference 2021;https://expomap.ru/conference/toronto-naturopathic-conference-2021/;Образовательная конференция для врачей-натуропатов;"с

            
                24
            

            по

            
                25 апреля";Онлайн, Веб
Политика и культура 2021;https://expomap.ru/conference/politika-i-kultura-2021/;Международная научно-практическая конференция;"с

            
                24
            

            по

            
                26 апреля";Венгрия, Будапешт
IPQuorum 2021. Tech for Content;https://expomap.ru/conference/ipquorum-2021-tech-for-content/;Форум по развитию креативных индустрий и мира интеллектуальной собственности;"с

            
                26
            

            по

            
                27 апреля";Россия, Москва
CEVC 2021;https://expomap.ru/conference/cevc-2021/;Ветеринарный конгресс;"с

            
                27
            

            по

            
                28 апреляНовые даты не анонсированы";Чехия, Брно
Фармапак 2021;https://expomap.ru/conference/farmapak-2021/;Международный фармацевтический конгресс и выставка;"с

            
                26
            

            по

            
                28 апреля";Россия, Москва
British Society for Rheumatology Conference 2021;https://expomap.ru/conference/british-society-for-rheumatology-conference-2021/;Конференция по ревматологии;"с

            
                26
            

            по

            
                28 апреля";Онлайн, Веб
MRO Latin America 2021;https://expomap.ru/conference/mro-latin-america-2021/;Конференция по техобслуживанию в коммерческой авиации;"с

            
                27
            

            по

            
                28 апреля";США, Орландо
Battery Experts Forum 2021;https://expomap.ru/conference/battery-experts-forum-2021/;Конференция по аккумуляторам и технологиям зарядки;"с

            
                27
            

            по

            
                29 апреля";Германия, Франкфурт
Neuromarketing Kongress 2021;https://expomap.ru/conference/neuromarketing-kongress-2021/;Конференция по нейромаркетингу;29 апреля 2021;Германия, Мюнхен
International Powder & Bulk Solids 2021;https://expomap.ru/conference/international-powder-bulk-solids-2021/;Конференция и выставка производителей порошков и сыпучих материалов;"с

            
                27
            

            по

            
                29 апреля";США, Роузмонт
Заболевание ВНЧС в каждодневной практике врача 2021;https://expomap.ru/conference/zabolevanie-vnchs-v-kazhdodnevnoj-praktike-vracha-2021/;Стоматологическая конференция;29 апреля 2021;Россия, Воронеж
Международное налоговое планирование 2021;https://expomap.ru/conference/mezhdunarodnoe-nalogovoe-planirovanie-2021/;Конференция;29 апреля 2021;Россия, Москва
EuroSpine Spring 2021;https://expomap.ru/conference/eurospine-spring-2021/;Конференция ортопедов и невропатологов;"с

            
                29
            

            по

            
                30 апреля";Германия, Франкфурт
Smartgreens 2021;https://expomap.ru/conference/smartgreens-2021/;Конференция по зеленым технологиям;"с

            
                28
            

            по

            
                30 апреля";Онлайн, Веб
Closer 2021;https://expomap.ru/conference/closer-2021/;Международная конференция по облачным технологиям и услугам;"с

            
                28
            

            по

            
                30 апреля";Онлайн, Веб
Self-Publishing-Day 2021;https://expomap.ru/conference/self-publishing-day-2021/;Конференция для самопубликующихся авторов;1 мая 2021;Германия, Дюссельдорф
Hillsong Colour Conference London 2021;https://expomap.ru/conference/hillsong-colour-conference-london-2021/;Всемирная женская конференция;"с

            
                
                    29 апреля
                
            

            по

            
                1 мая";Великобритания, Лондон
International Meeting on Aesthetic Phlebology 2021;https://expomap.ru/conference/international-meeting-on-aesthetic-phlebology-2021/;Международная конференция по эстетической флебологии;"с

            
                
                    30 апреля
                
            

            по

            
                2 мая";Бразилия, Сан-Паулу
AMWC Asia & TDAC 2021;https://expomap.ru/conference/amwc-asia-tdac-2021/;Конференции по дерматологии и эстетической медицине;"с

            
                1
            

            по

            
                2 мая";Тайвань, Тайбэй
Face & Body Conference Southeast 2021;https://expomap.ru/conference/face-body-conference-southeast-2021/;Международная конференция косметологов по уходу за кожей;"с

            
                2
            

            по

            
                3 мартас

            
                2
            

            по

            
                3 мая";США, Атланта
Integrative Healthcare Symposium NY 2021;https://expomap.ru/conference/integrative-healthcare-symposium-ny-2021/;Конференция по вопросам здравоохранения;"с

            
                14
            

            по

            
                16 январяс

            
                2
            

            по

            
                4 мая";США, Нью-Йорк
Confab Central 2021;https://expomap.ru/conference/confab-central-2021/;Конференция по маркетингу;"с

            
                2
            

            по

            
                5 мая";США, Миннеаполис
INS World Congress 2021;https://expomap.ru/conference/ins-world-congress-2021/;Всемирный конгресс по нейромодуляции;"с

            
                1
            

            по

            
                6 мая";Испания, Барселона
Saskatchewan Real Estate Forum 2021;https://expomap.ru/conference/saskatchewan-real-estate-forum-2021/;Конференция по вопросам операций с недвижимостью;21 апреля 20216 мая 2021;Онлайн, Веб
med.Logistica 2021;https://expomap.ru/conference/medlogistica-2021/;Выставка и конференция по размещению и логистике объектов здравоохранения;"с

            
                5
            

            по

            
                6 мая";Германия, Лейпциг
Euro Chlor 2021;https://expomap.ru/conference/euro-chlor-2021/;Международная конференция и выставка по технологиям хлора;"с

            
                4
            

            по

            
                6 мая";Польша, Варшава
EuroELSO Congress 2021;https://expomap.ru/conference/euroelso-congress-2021/;Конгресс по вопросам экстракорпоральной терапии жизнеобеспечения;"с

            
                29
            

            по

            
                31 мартас

            
                5
            

            по

            
                7 мая";Онлайн, Веб
