Название;Место;Дата проведения;Дедлайн;Почта;Организатор;Ссылка
Экспозиционно-выставочная деятельность современного музея;Россия, Санкт-Петербург;07  апреля -11  апреля ;07  апреля;client@cntiprogress.ru;"ЦНТИ ""Прогресс""";https://konferen.ru/preview/1785
Третья Всероссийская научно-практическая заочная конференция «Новые информационные технологии в экономике, управлении, образовании»;Россия, Самара;17  марта -17  марта ;15  марта;conf@samin.ru;НОУ ВПО «Самарский институт – высшая школа приватизации и предпринимательства»;https://konferen.ru/preview/1784
"Семинар ""Музейная педагогика""";Россия, Санкт-Петербург;17  марта -21  марта ;17  марта;client@cntiprogress.ru;ЦНТИ “Прогресс”;https://konferen.ru/preview/1783
"Семинар ""Корпоративный музей как имиджевый инструмент предприятия и организации: традиции и новаторство""";Россия, Санкт-Петербург;10  марта -14  марта ;10  марта;client@cntiprogress.ru;"ЦНТИ ""Прогресс""";https://konferen.ru/preview/1782
Всесоюзные ударные стройки в истории XX века;Россия, Казань;01  ноября -30  ноября ;10  сентября;nni2011@mail.ru;Институт истории им. Ш. Марджани Академии наук Республики Татарстан;https://konferen.ru/preview/1781
"Конференция ""Театры Первой мировой""";Россия, Санкт-Петербург;24  октября -25  октября ;01  августа;conferenceTM@yandex.ru;;https://konferen.ru/preview/1777
Производственная практика студентов вуза: организация, проведение и контроль. Построение партнерских отношений с предприятием;Россия, Санкт-Петербург;10  марта -13  марта ;10  марта;client@cntiprogress.ru;ЦНТИ «Прогресс»;https://konferen.ru/preview/1773
Организация, проведение и контроль производственной практики студентов ОУ СПО;Россия, Санкт-Петербург;03  марта -06  марта ;03  марта;client@cntiprogress.ru;ЦНТИ «Прогресс»;https://konferen.ru/preview/1772
Заочная научно-практическая конференция «Общество и цивилизация в ХХI веке: тенденции и  перспективы развития»;Россия, Воронеж;27  февраля -28  февраля ;24  февраля;mnk@scirep.ru;"ООО «Вэлборн», г. Воронеж; Издательство «Научно-исследовательские публикации», г. Воронеж";https://konferen.ru/preview/1771
Международная научно-практическая конференция «Социально-педагогическая культура российского общества: интеграция прошлого и настоящего»;Россия, Москва;04  апреля -06  апреля ;05  марта;cit-sr@mail.ru;Московский городской педагогический университет (Социальный институт);https://konferen.ru/preview/1769
VI Троицкая конференция «Медицинская физика и инновации в медицине»;Россия, Москва;02  июня -06  июня ;10  апреля;tkmf06@gmail.com;"Институт проблем лазерных и информационных технологий РАН, Институт спектроскопии РАН, 
Троицкий научный центр РАН";https://konferen.ru/preview/1767
Инновации в современной геологической науке и практике;Россия, Старый Оскол;16  января -16  января ;01  апреля;geol2014@mail.ru;Российский государственный геологоразведочный университет имени Серго Орджоникидзе;https://konferen.ru/preview/1766
Приемная кампания ВУЗа (обеспечение бюджетного и платного набора);Россия, Санкт-Петербург;03  марта -07  марта ;03  марта;client@cntiprogress.ru;"ЦНТИ ""Прогресс""";https://konferen.ru/preview/1765
Научно-практическая конференция «Приемы сохранения и повышения плодородия почв мелиорированных земель»;Россия, Новочеркасск;21  февраля -21  февраля ;17  февраля;rosniipm@yandex.ru;"ФГБНУ ""Российский научно-исследовательский институт проблем мелиорации""";https://konferen.ru/preview/1764
"Научно-практический журнал ""Аспирант""";Россия, Москва;01  января -28  февраля ;28  февраля;aspirant.prioritet@yandex.ru;"ООО ""Приоритет""";https://konferen.ru/preview/1761
Язык - литература - искусство: когнитивно-семиотический интерфейс;Украина, Киев;15  мая -17  мая ;15  февраля;uaclipconference@ukr.net;Украинская ассоциация когнитивной лингвистики и поэтики;https://konferen.ru/preview/1759
Научно-практический электронный журнал «Экономика и социум»;Россия, Саратов;30  января -30  января ;30  января;magazine-red@yandex.ru;ООО «Институт управления и социально-экономического развития»;https://konferen.ru/preview/1757
III Международная научно-практическая конференция  «Экономика и социум: современные модели развития общества в аспекте глобализации»;Россия, Саратов;12  февраля -12  февраля ;12  февраля;conferent6@yandex.ru;Саратовский государственный технический университет;https://konferen.ru/preview/1756
IV Международная научно-практическая конференция  «Мировая наука и современное общество: актуальные вопросы экономики, социологии и права»;Россия, Саратов;22  января -22  января ;22  января;conferent5@yandex.ru;Саратовский государственный технический университет;https://konferen.ru/preview/1755
IV Международная научно-практическая конференция  «Актуальные вопросы развития социально-экономических систем  в современном обществе»;Россия, Саратов;28  марта -28  марта ;28  марта;conferent9@yandex.ru;Саратовский государственный технический университет;https://konferen.ru/preview/1754
IV международная  научно-практическая конференция  «Информационная среда и ее особенности на современном этапе развития мировой цивилизации»;Россия, Саратов;17  марта -17  марта ;17  марта;Orgkomitet4@yandex.ru;"Richland College (Даллас, США);
Саратовский государственный технический университет;
Институт управления и социально-экономического развития";https://konferen.ru/preview/1753
VI Международная научно-практическая конференция  «Экология души»;Украина, Севастополь;25  апреля -27  апреля ;05  апреля;dialog-yalta@yandex.ru;;https://konferen.ru/preview/1749
"1(5)/2014 Журнал ""Научно-исследовательские публикации""";Россия, Русский;29  января -05  февраля ;28  января;onfere@scirep.ru;"Издательство ""Научно-исследовательские публикации"", ООО ""ВЭЛБОРН"" (Россия, Воронеж)";https://konferen.ru/preview/1746
"Детская научная конференция ""История и художественная культура""";Россия, Санкт-Петербург;17  февраля -18  июля ;31  января;conferences@piligrim.com;"Культурно-просветительское общество ""Пушкинский проект""";https://konferen.ru/preview/1740
Оценка результатов освоения программ профессионального образования  в контексте ФГОС: региональный опыт;Россия, Омск;24  апреля -25  апреля ;01  марта;kpppu_conference_omgpu@mail.ru;Кафедра профессиональной педагогики, психологии и управления ОмГПУ;https://konferen.ru/preview/1738
VIII Международная научно-практическая конференция Управление инновациями: теория, методология, практика;Россия, Новосибирск;31  января -31  января ;31  января;monography@ngs.ru;Центр развития научного сотрудничества (г. Новосибирск);https://konferen.ru/preview/1727
II Международная студенческая научно-практическая конференция «Научно-образовательный потенциал молодежи в решении актуальных проблем XXI века»;Россия, Ачинск;17  апреля -17  апреля ;15  марта;ach.kgaunir@yandex.ru;Красноярский государственный аграрный университет;https://konferen.ru/preview/1724
"Международная научно-практическая конференция ""Человеческий капитал в обновлении России""";Россия, Екатеринбург;17  октября -17  октября ;15  июля;science-urgi@ural.ru;"НВПОУ ""Уральский гуманитарный институт""";https://konferen.ru/preview/1722
"""Современные языковые системы как инструменты преобразования действительности """;Великобритания, Лондон;05  февраля -10  февраля ;04  февраля;office@gisap.eu;"Организаторы:

Международная Академия Наук и Высшего Образования (Великобритания);
Всеукраинский Академический Союз (Украина);
Международный торгово-промышленный союз (Великобритания);
Американский международный коммерческий арбитражный суд (США);
Центр н";https://konferen.ru/preview/1720
"""Проблемы соотношения межличностных взаимодействий и образовательных технологий в общественных отношениях""";Великобритания, Лондон;16  января -21  января ;15  января;office@gisap.eu;Всеукраинский Академический Союз (Украина);https://konferen.ru/preview/1719
"11-я Всероссийская научно-практическая конференция ""Акмеология профессионального образования""";Россия, Екатеринбург;13  марта -14  марта ;01  марта;fpk.rsvpu@list.ru;"Российский государственный
профессионально-педагогический университет";https://konferen.ru/preview/1718
"II Международный юридический форум ""Правовая защита интеллектуальной собственности: проблемы теории и практики""";Россия, Москва;14  февраля -15  февраля ;15  января;ip2014.msal@gmail.com;Московский государственный юридический университет им. О.Е.Кутафина;https://konferen.ru/preview/1717
Педагогическая деятельность в режиме инноваций: концепции, подходы, технологии;Россия, Дербент;28  февраля -28  февраля ;31  января;bashirova.maida@mail.ru;«Дагестанский государственный педагогический университет» в г. Дербенте;https://konferen.ru/preview/1711
Церковное пение как самостоятельная дисциплина: научные ответвления – смежные научные дисциплины;Греция, Волос;30  июня -02  июля ;15  января;tomeaspsaltikis@gmail.com;Отдел церковного пения и музыковедения Академии Богословских Наук г. Волоса (Греция);https://konferen.ru/preview/1709
III Международная научная Интернет-конференция «Медицина в XXI веке: тенденции и перспективы»;Россия, Казань;16  апреля -16  апреля ;25  марта;medicine2014@paxgrid.ru;Pax Grid;https://konferen.ru/preview/1702
"II Всероссийская научная виртуальная онлайн конференция ""Химическая наука: современные достижения и историческая перспектива""";Россия, Казань;27  марта -27  марта ;01  марта;chemistry2014@paxgrid.ru;Pax Grid;https://konferen.ru/preview/1701
II Международная научно-практическая виртуальная конференция «Психология развития и стагнации личности в рамках современного общества»;Россия, Казань;19  февраля -19  февраля ;25  января;psychol2014@paxgrid.ru;Система виртуальных конференций Pax Grid;https://konferen.ru/preview/1700
II Международная научно-практическая виртуальная конференция «На стыке наук.Физико-химическая серия»;Россия, Казань;28  января -28  января ;18  января;physchem2014@paxgrid.ru;Система виртуальных конференций Pax Grid;https://konferen.ru/preview/1699
IV Международная научно-практическая конференция  «Русский язык и культура в зеркале перевода»;Россия, Москва;25  апреля -30  апреля ;01  марта;info_rusperevod@mail.ru;"Высшая школа перевода (факультет)
Московского государственного университета имени М.В. Ломоносова";https://konferen.ru/preview/1698
II Международный научно-практический форум  «Языки. Культуры. Перевод»;Россия, Москва;01  июля -07  июля ;01  мая;info_rusperevod@mail.ru;Высшая школа перевода (факультет) Московского государственного университета имени М.В. Ломоносова;https://konferen.ru/preview/1697
IV Международная научно-практическая конференция Познание стран мира:  история, культура, достижения;Россия, Новосибирск;21  февраля -21  февраля ;21  февраля;monography@ngs.ru;Центр развития научного сотрудничества (г. Новосибирск);https://konferen.ru/preview/1693
"Research papers on Technology:  ""Technology and Innovations in modern society""";Польша, Варшава;20  января -20  января ;27  декабря;info@hersoie.eu;;https://konferen.ru/preview/1692
"Research papers on Politic and Sociology:  ""Political and sociological basics of the modern democratic state""";Польша, Варшава;20  января -20  января ;27  декабря;info@hersoie.eu;Научное издательство „Hersoie“;https://konferen.ru/preview/1691
"Research papers on Pedagogy and Psychology:  ""Social and psychological conditions of the educational environment in the twenty-first century""";Польша, Варшава;20  января -20  января ;27  декабря;info@hersoie.eu;Научное издательство „Hersoie“;https://konferen.ru/preview/1690
"Research papers on Law:  ""Contemporary Issues of Law""";Польша, Варшава;20  января -20  января ;27  декабря;info@hersoie.eu;Научное издательство „Hersoie“;https://konferen.ru/preview/1689
"Research papers on Journalistic:  ""Mass Media in Modern Society""";Польша, Варшава;20  января -20  января ;27  декабря;info@hersoie.eu;Научное издательство „Hersoie“;https://konferen.ru/preview/1688
"Research papers on Economy: ""Development of the economic theory since the beginning of XX century""";Польша, Варшава;20  января -20  января ;27  декабря;info@hersoie.eu;"Научное издательство ""Hersoie""";https://konferen.ru/preview/1687
Имущественный комплекс образовательного учреждения: проблемные вопросы владения и распоряжения;Россия, Санкт-Петербург;11  февраля -14  февраля ;11  февраля;client@cntiprogress.ru;ЦНТИ «Прогресс»;https://konferen.ru/preview/1686
Международная конференция: «Современные инновационные технологии подготовки инженерных кадров для горной промышленности и транспорта»;Украина, Днепропетровск;27  марта -28  марта ;15  марта;okmm@i.ua;;https://konferen.ru/preview/1685
Международная научно-практическая конференция студентов и аспирантов «Студенты вузов - школе и производству»;Россия, Акташ;23  апреля -24  апреля ;18  января;svshigpi@mail.ru;"ФГБОУ ВПО ""Ишимский государственный педагогический институт им. П.П.Ершова";https://konferen.ru/preview/1682
Актуальные вопросы исследований в авионике: теория, обслуживание, разработки;Россия, Воронеж;12  февраля -14  февраля ;30  декабря;aviator.vrn@mail.ru;Военно-воздушная академии им. проф. Н.Е. Жуковского и Ю.А. Гагарина (г. Воронеж);https://konferen.ru/preview/1680
"Научная встреча ""Догеометрические состояния духа""";Украина, Ялта;24  декабря -29  декабря ;21  декабря;marsgeo1111@gmail.com;НИИ «Объединенное Общество Русской Науки в Европе»;https://konferen.ru/preview/1679
ХII научно-практическая конференция «Общественный идеал для России»;Россия, Екатеринбург;20  января -20  января ;20  января;politist2010@ya.ru;"Научно-издательский центр ""ПолитИст"" (г. Екатеринбург)";https://konferen.ru/preview/1675
IV Международная научно-практическая конференция «Философия в контексте культуры»;Россия, Брянск;01  декабря -30  декабря ;20  декабря;sg-malinnikov@yandex.ru;Брянский государственный университет имени академика И.Г.Петровского;https://konferen.ru/preview/1669
VII Международная научно-практическая конференция Управление инновациями: теория, методология, практика;Россия, Новосибирск;30  декабря -30  декабря ;30  декабря;monography@ngs.ru;Центр развития научного сотрудничества (г. Новосибирск);https://konferen.ru/preview/1665
Актуальные проблемы российской экономики в современных условиях;Россия, Москва;20  декабря -20  декабря ;15  декабря;konfer-mei@yandex.ru;"НОУ ВПО ""Московский экономический институт""";https://konferen.ru/preview/1660
Электронный журнал «Middle East Journal of Scientific Research» (цитирование в Scopus, ISI Web of Knowledge);Россия, Москва;31  декабря -09  января ;31  декабря;info@aspirans.com;IDOSI Publications и МНИА ООО «Ростра»;https://konferen.ru/preview/1655
"Международная научно-практическая конференция ""Современная экономика и управление: подходы, концепции, модели""";Россия, Саратов;02  декабря -25  января ;25  января;abramov.a@mail.ru;8-905-033-85-83;https://konferen.ru/preview/1651
Воспитательная деятельность в современном образовательном учреждении;Россия, Санкт-Петербург;10  февраля -14  февраля ;07  февраля;client@cntiprogress.ru;ЦНТИ «Прогресс»;https://konferen.ru/preview/1650
IV Международная научно-практическая конференция Сельскохозяйственные  науки и агропромышленный комплекс  на рубеже веков;Россия, Новосибирск;20  декабря -20  декабря ;20  декабря;monography@ngs.ru;Центр развития научного сотрудничества (г. Новосибирск);https://konferen.ru/preview/1647
Всероссийская конференция (заочная) «Власть и общество: опыт взаимоотношений»;Россия, Тамбов;22  октября -23  октября ;01  октября;dasha.sherbakova@inbox.ru;Тамбовский государственный университет им. Г.Р. Державина;https://konferen.ru/preview/1646
Студенческая конференция «Основные тенденции развития местного самоуправления в РФ»;Россия, Тамбов;05  марта -06  марта ;05  февраля;tmbtsumen@rambler.ru;Тамбовский государственный университет им. Г.Р. Державина;https://konferen.ru/preview/1644
Международная научно-практическая конференция «Экономико-математические методы исследования современных проблем экономики и общества»;Россия, Уфа;16  декабря -17  декабря ;12  декабря;emmconf@mail.ru;Башкирский государственный университет;https://konferen.ru/preview/1640
IV Международная (заочная) научно-практическая конференция «Актуальные тенденции развития юридических наук в XXI веке»;Россия, Казань;07  декабря -07  декабря ;06  декабря;ontvor@yandex.ru;Общество Науки и Творчества;https://konferen.ru/preview/1639
Международные (заочные) научно-практические конференции «Интеграция мировых научных процессов как основа общественного процесса»;Россия, Казань;01  декабря -01  декабря ;30  ноября;ontvor@yandex.ru;Общество Науки и Творчества;https://konferen.ru/preview/1637
IХ Международная научно-практическая конференция Фундаментальные и прикладные исследования: проблемы и результаты;Россия, Новосибирск;16  декабря -16  декабря ;16  декабря;monography@ngs.ru;Центр развития научного сотрудничества (г. Новосибирск);https://konferen.ru/preview/1635
III Международная научно-практическая конференция Познание стран мира:  история, культура, достижения;Россия, Новосибирск;13  декабря -13  декабря ;13  декабря;monography@ngs.ru;Центр развития научного сотрудничества (г. Новосибирск);https://konferen.ru/preview/1633
"Всероссийская научно-практическая конференция ""Подготовка профессиональных кадров для медицинских ВУЗов""";Россия, Омск;13  марта -14  марта ;01  февраля;conf2014ommed@mail.ru;Омская государственная медицинская академия;https://konferen.ru/preview/1630
Проверки в учреждениях СПО: предупреждение нарушений современного законодательства РФ в сфере образования;Россия, Санкт-Петербург;03  февраля -07  февраля ;03  февраля;client@cntiprogress.ru;ЦНТИ «Прогресс»;https://konferen.ru/preview/1629
ХХХIV Международная научно-практическая конференция  Психология и педагогика: методика  и проблемы практического применения  [РИНЦ];Россия, Новосибирск;13  декабря -13  декабря ;13  декабря;monography@ngs.ru;Центр развития научного сотрудничества (г. Новосибирск);https://konferen.ru/preview/1626
Системный подход к реализации новых ФГОС и методическая работа в образовательных учреждениях СПО;Россия, Санкт-Петербург;27  января -31  января ;17  января;client@cntiprogress.ru;"ЦНТИ ""Прогресс""";https://konferen.ru/preview/1623
"XL Международная научно-практическая конференция ""Инновационные научные исследования 2013 года""";Украина, Горловка;12  декабря -13  декабря ;09  декабря;sconference@sconference.org;Центр научных инициатив;https://konferen.ru/preview/1622
Международная конференция «Композиционные материалы  на древесных и других наполнителях»;Россия, Мытищи;20  октября -22  октября ;30  июня;smtarasoff@mail.ru;Министерство образования и науки Российской Федерации Российская академия наук;https://konferen.ru/preview/1621
IV научно-практическая конференция молодых ученых «Инновационное развитие российской экономики»;Россия, Москва;09  декабря -09  декабря ;21  ноября;ASShumilova@mesi.ru;;https://konferen.ru/preview/1618
II Международная заочная научно-теоретическая конференция  «Современная картина мира в свете  научного наследия академика Н.Н. Моисеева»;Россия, Москва;15  ноября -15  ноября ;01  ноября;science@mnepu.ru;НОУ ВПО «Академия МНЭПУ»;https://konferen.ru/preview/1608
Международная научно-практическая конференция «Актуальные проблемы права социального обеспечения и трудового права»;Россия, Владимир;20  декабря -25  декабря ;20  декабря;gps-vlsu@yandex.ru;Юридический институт Владимирского государственного университета имени Александра Григорьевича и Николая Григорьевича Столетовых;https://konferen.ru/preview/1607
VIІ Международная научно-практическая конференция «Специальный и художественный перевод: теория, методология, практика»;Украина, Киев;04  апреля -04  апреля ;10  февраля;conferencekiev@i.ua;"Национальный авиационный университет (Украина)
Сибирский федеральный университет (Российская Федерация)";https://konferen.ru/preview/1605
Прикладной бакалавриат. Среднее профессиональное образование в структуре ВПО. Система сетевого взаимодействия в организациях профессионального образования;Россия, Санкт-Петербург;20  января -24  января ;10  января;client@cntiprogress.ru;"ЦНТИ ""Прогресс""";https://konferen.ru/preview/1604
XIII Пушкарёвские чтения. Россия сквозь века: история, экономика, право, образование, культура;Россия, Старый Оскол;30  ноября -30  ноября ;30  ноября;TatP703@mail.ru;Белгородский государственный национальный исследовательский университет;https://konferen.ru/preview/1603
"""Религия, религиозность, философия и гуманитаристика в современном информационном пространстве: национальный и интернациональный аспекты""";Украина, Рубежное;26  декабря -27  декабря ;09  декабря;ftg-conference@mail.ru;ftg-conference@mail.ru;https://konferen.ru/preview/1602
"Международная научно-практическая конференция ""Техника и технология: новые перспективы развития""";Украина, Одесса;12  ноября -29  ноября ;28  ноября;office@uctn.org.ua;Украинский центр технических наук;https://konferen.ru/preview/1601
Бриллюэновская и микроволновая спектроскопия магнитных микро- и наноразмерных структур - BrilMics 2013;Россия, Саратов;03  августа -01  марта ;01  марта;BrilMicS@gmail.com;Саратовский государственный университет, Российская академия наук;https://konferen.ru/preview/1599
IV Международная научно-практическая конференция «Логистические системы в глобальной экономике»;Россия, Красноярск;03  марта -04  марта ;24  января;prokopovich@sibsau.ru;Сибирский государственный аэрокосмический университет имени академика М.Ф. Решетнева;https://konferen.ru/preview/1598
РИНЦ Перспективы развития  информационных услуг ХVI Международная научно-практическая конференция;Россия, Новосибирск;04  декабря -04  декабря ;04  декабря;monography@ngs.ru;Центр развития научного сотрудничества (г. Новосибирск);https://konferen.ru/preview/1595
Управление инновациями: теория, методология, практика VII Международная научно-практическая конференция;Россия, Новосибирск;06  декабря -06  декабря ;06  декабря;monography@ngs.ru;Центр развития научного сотрудничества (г. Новосибирск);https://konferen.ru/preview/1593
Поволжская ветеринарная хирургическая конференция;Россия, Казань;05  декабря -06  ноября ;30  ноября;pvokazan@mail.ru;Поволжское ветобщество;https://konferen.ru/preview/1592
"Семинар для служащих музеев ""Работа с посетителем в музее""";Россия, Санкт-Петербург;02  декабря -06  декабря ;29  ноября;client@cntiprogress.ru;"ЦНТИ ""Прогресс""";https://konferen.ru/preview/1591
Организационно-управленческое и методическое сопровождение ФГОС нового поколения;Россия, Санкт-Петербург;16  декабря -20  декабря ;06  декабря;client@cntiprogress.ru;ЦНТИ «Прогресс»;https://konferen.ru/preview/1590
Управление детской и детско-юношеской библиотекой: вопросы и решения;Россия, Санкт-Петербург;16  декабря -19  декабря ;07  декабря;client@cntiprogress.ru;ЦНТИ «Прогресс»;https://konferen.ru/preview/1588
Культурно-образовательный семинар «Александровская эпоха: на грани двух веков, на грани двух культур»;Россия, Санкт-Петербург;03  января -08  января ;15  декабря;conferences@piligrim.com;;https://konferen.ru/preview/1587
Психиатрические аспекты паллиативной помощи и лечения боли;Россия, Москва;28  ноября -30  ноября ;28  ноября;psychology@mipmo.ru;МИПМО, GEMC, IPOS;https://konferen.ru/preview/1586
V международная  научно-практическая конференция  «Информационные технологии в экономике, образовании и бизнесе»;Россия, Саратов;23  декабря -23  декабря ;23  декабря;Orgkomitet7@yandex.ru;Саратовский государственный технический университет;https://konferen.ru/preview/1585
III международная  научно-практическая конференция  «Развитие информационных технологий и их значение для модернизации социально-экономической системы»;Россия, Саратов;20  ноября -20  ноября ;20  ноября;Orgkomitet3@yandex.ru;Саратовский государственный технический университет;https://konferen.ru/preview/1584
IV Международная научно-практическая конференция  «Общество в эпоху перемен:  формирование новых социально-экономических отношений»;Россия, Саратов;12  декабря -12  декабря ;12  декабря;conferent5@yandex.ru;Саратовский государственный технический университет;https://konferen.ru/preview/1583
Подготовка преподавателей для работы в условиях апробации государственных образовательных стандартов нового поколения;Россия, Санкт-Петербург;09  декабря -13  декабря ;29  ноября;client@cntiprogress.ru;ЦНТИ «Прогресс»;https://konferen.ru/preview/1582
Менеджмент качества в учреждении профессионального образования (ВПО);Россия, Санкт-Петербург;09  декабря -13  декабря ;29  ноября;client@cntiprogress.ru;ЦНТИ «Прогресс»;https://konferen.ru/preview/1581
IV Международная научно-практическая конференция  «Психологическое сопровождение образования: теория и практика»;Россия, Йошкар-Ола;25  декабря -27  декабря ;09  декабря;kafedrapspo@mail.ru;АНО ВПО «Межрегиональный открытый социальный институт»;https://konferen.ru/preview/1580
Заочная научная конференция «Научные итоги 2013 г.»;Украина, Харьков;05  ноября -05  декабря ;05  декабря;tarp.nauka@gmail.com;"Редакция ""Восточно-Европейского журнала передовых технологий""";https://konferen.ru/preview/1578
III Международная научно-практическая конференция «Современное государство:проблемы социально-экономического развития»;Россия, Саратов;26  декабря -26  декабря ;26  декабря;conferent6@yandex.ru;Саратовский государственный технический университет;https://konferen.ru/preview/1577
III международная научно-практическая конференция  «Информационные технологии в жизни современного человека»;Россия, Саратов;13  декабря -13  декабря ;13  декабря;Orgkomitet6@yandex.ru;Саратовский государственный технический университет;https://konferen.ru/preview/1576
РИНЦ Фундаментальные и прикладные исследования: проблемы и результаты IХ Международная научно-практическая конференция;Россия, Новосибирск;22  ноября -22  ноября ;22  ноября;monography@ngs.ru;Центр развития научного сотрудничества (г. Новосибирск);https://konferen.ru/preview/1573
РИНЦ Инфраструктурные отрасли экономики: проблемы и перспективы развития III международная научно-практическая конференция;Россия, Новосибирск;20  ноября -20  ноября ;20  ноября;suee_nstu@mail.ru;Новосибирский государственный технический университете Кафедра Систем управления и экономики энергетики;https://konferen.ru/preview/1570
Международная научно-практическая Интернет – конференция: «Проблемы социально-экономического развития предпринимательства»;Украина, Днепропетровск;14  ноября -15  ноября ;13  ноября;conf.at.ua@gmail.com;Научный журнал «Экономика и финансы» (Украина);https://konferen.ru/preview/1568
Парк отдыха как многофункциональный комплекс;Россия, Санкт-Петербург;02  декабря -06  декабря ;22  ноября;client@cntiprogress.ru;ЦНТИ «Прогресс»;https://konferen.ru/preview/1567
РИНЦ Психология и педагогика: методика и проблемы  практического применения ХХХIV Международная научно-практическая конференция;Россия, Новосибирск;15  ноября -15  ноября ;15  ноября;monography@ngs.ru;Центр развития научного сотрудничества (г. Новосибирск);https://konferen.ru/preview/1562
Познание стран мира: история, культура, достижения III Международная научно-практическая конференция;Россия, Новосибирск;22  ноября -22  ноября ;22  ноября;monography@ngs.ru;Центр развития научного сотрудничества (г. Новосибирск);https://konferen.ru/preview/1560
XI Всероссийской научно-практической конференции  «Экономика и управление в сфере услуг:  современное состояние и перспективы развития»  4 февраля 2014 года;Россия, Санкт-Петербург;04  февраля -04  февраля ;31  октября;MarasanovES@gup.ru;Санкт-Петербургский Гуманитарный Университет профсоюзов;https://konferen.ru/preview/1558
"XXXIX Международная научно-практическая конференция ""Внедрение научных знаний в повседневную жизнь""";Украина, Горловка;14  ноября -15  ноября ;11  ноября;sconference@sconference.org;Центр научных инициатив;https://konferen.ru/preview/1556
Семинар «Музейные фонды: формирование, учет, сохранение, использование»;Россия, Санкт-Петербург;16  декабря -20  декабря ;06  декабря;client@cntiprogress.ru;"ЦНТИ ""Прогресс""";https://konferen.ru/preview/1551
Организация и ведение охранных археологических работ: выявление, исследование и обеспечение сохранности объектов археологического наследия;Россия, Санкт-Петербург;02  декабря -06  декабря ;22  ноября;client@cntiprogress.ru;"ЦНТИ ""Прогресс""";https://konferen.ru/preview/1550
