Название гранта;Дедлайн;Ссылка
Стипендия студентам бакалавриата университета Valparaiso University, США;" 15 декабря 2020
Университет Валпараисо (Valparaiso University) предлагает ряд стипендий иностранным студентам бакалавриата. ";https://st-gr.com/?p=2861
Стипендии университета University of Derby, Великобритания;" —
Университет University of Derby предлагает стипендии иностранным студентам бакалавриата, магистратуры и аспирантуры.  ";https://st-gr.com/?p=2787
Стипендия иностранным студентам университета Pace University, США;" —
В 2019 году 72% иностранных студентов университета Pace University получали стипендию или финансовую помощь. ";https://st-gr.com/?p=2468
Двойная магистерская степень в Окcфордском университете;" январь — март 2021
";https://st-gr.com/?p=2375
Высшее образование в Канаде со стипендией;"  15 декабря 2020
Обучение на любой программе бакалавриата университета Simon Fraser University с полной стипендией.";https://st-gr.com/?p=2969
Стипендии иностранным студентам университета Murray State University, США;" разный для разных стипендий
Университет Murray State University предлагает несколько стипендий иностранным студентам бакалавриата и магистратуры.";https://st-gr.com/?p=2365
Полная стипендия на обучение в Центре East-West Center, Гавайи, США.;" 1 декабря 2020
Центр East-West Center  предлагает стипендии на обучение в магистратуре и аспирантуре студентам из Азии, Тихоокеанского региона, России и США. ";https://st-gr.com/?p=2341
Стипендия иностранным студентам университета University of Cambridge;"  3 декабря 2020,  7 января 2021
Фонд Cambridge Trust ежегодно предлагает стипендии иностранным студентам бакалавриата, магистратуры или аспирантуры Кембриджского университета (University of Cambridge).";https://st-gr.com/?p=2405
Полная стипендия на обучение в колледже Simmons College, США;" 1 декабря 2020
Стипендия имени Гилберта и Марии Котцен  (Gilbert and Marcia Kotzen Scholars Program) — полная оплата обучения в бакалавриате и проживания во время обучения.";https://st-gr.com/?p=2216
Стипендия иностранным студентам на обучение в Японии от Atsumi foundation;" 30 сентября 2020
 Atsumi foundation предлагает несколько стипендий иностранным студентам на обучение в аспирантуре в одном из вузов региона Канто.";https://st-gr.com/?p=2308
Стипендии иностранным студентам университета University of Melbourne, Австралия;" —
Университет University of Melbourne учредил международную стипендиальную программу иностранным студентам бакалавриата.";https://st-gr.com/?p=2649
Полная стипендия университета Edith Cowan University, Австралия;" 18 октября 2020
Университет Эдит Коуэн (Edith Cowan University)предлагает полные стипендии студентам, желающим обучаться на исследовательских программах магистратуры и аспирантуры университета. ";https://st-gr.com/?p=2519
Исследовательская стипендия от Facebook;" 1 октября 2020
Facebook предлагает стипендии студентам аспирантуры, которые занимаются инновационным исследованием в области компьютерных наук и инжиниринга. ";https://st-gr.com/?p=2796
Стипендия университета Roskilde University для студентов магистратуры, которые не являются гражданами стран ЕС/ЕЭЗ;" 15 января 2021
Университет  Roskilde University предлагает стипендию студентам магистратуры, которые не являются гражданами стран ЕС/ЕЭЗ.";https://st-gr.com/?p=273
Полная стипендия университета Lund University, Швеция;" 15 января 2021
2 полных стипендии на обучение на программе магистратуры Industrial Design — Master’s Programme в университете Lund University, Швеция";https://st-gr.com/?p=2919
Стипендия Emile Boutmy Scholarship иностранным студентам;" 6 декабря 2020
Стипендия предназначена студентам, которые впервые поступают в университет на одну из программ бакавриата или магистратуры.";https://st-gr.com/?p=3057
Стипендиальная программа Фонда Потанина;" 20 ноября 2020/15 января 2021
Студенты и преподаватели магистратуры имеют возможность  принять участие в новом цикле стипендиального и грантового конкурсов Стипендиальной программы Владимира Потанина.";https://st-gr.com/?p=6662
Стипендия студентам бакалавриата университета Widener University, США;" —
Университет Уиндер  предлагает лимитированное количество стипендий, полностью оплачивающих обучение в бакалавриате.";https://st-gr.com/?p=2397
Стипендия иностранным студентам колледжа Berea College;" 30 ноября 2020
Берия-колледж (Berea College) предлагает стипендии своим студентам. Стипендия колледжа – помощь в оплате обучения";https://st-gr.com/?p=5630
Полная оплата обучения в магистратуре и аспирантуре во Франции — Eiffel scholarships;" 8 января 2021
Полная стипендия иностранным студентам на обучение в магистратуре и аспирантуре Франции";https://st-gr.com/?p=2973
Стипендия студентам бакалавриата университета Valparaiso University, США;" 15 декабря 2020
Университет Валпараисо (Valparaiso University) предлагает ряд стипендий иностранным студентам бакалавриата. ";https://st-gr.com/?p=2861
Стипендии университета University of Derby, Великобритания;" —
Университет University of Derby предлагает стипендии иностранным студентам бакалавриата, магистратуры и аспирантуры.  ";https://st-gr.com/?p=2787
Стипендия иностранным студентам университета Pace University, США;" —
В 2019 году 72% иностранных студентов университета Pace University получали стипендию или финансовую помощь. ";https://st-gr.com/?p=2468
Двойная магистерская степень в Окcфордском университете;" январь — март 2021
";https://st-gr.com/?p=2375
Высшее образование в Канаде со стипендией;"  15 декабря 2020
Обучение на любой программе бакалавриата университета Simon Fraser University с полной стипендией.";https://st-gr.com/?p=2969
Стипендии иностранным студентам университета Murray State University, США;" разный для разных стипендий
Университет Murray State University предлагает несколько стипендий иностранным студентам бакалавриата и магистратуры.";https://st-gr.com/?p=2365
Полная стипендия на обучение в Центре East-West Center, Гавайи, США.;" 1 декабря 2020
Центр East-West Center  предлагает стипендии на обучение в магистратуре и аспирантуре студентам из Азии, Тихоокеанского региона, России и США. ";https://st-gr.com/?p=2341
Стипендия иностранным студентам университета University of Cambridge;"  3 декабря 2020,  7 января 2021
Фонд Cambridge Trust ежегодно предлагает стипендии иностранным студентам бакалавриата, магистратуры или аспирантуры Кембриджского университета (University of Cambridge).";https://st-gr.com/?p=2405
Полная стипендия на обучение в колледже Simmons College, США;" 1 декабря 2020
Стипендия имени Гилберта и Марии Котцен  (Gilbert and Marcia Kotzen Scholars Program) — полная оплата обучения в бакалавриате и проживания во время обучения.";https://st-gr.com/?p=2216
Стипендия иностранным студентам на обучение в Японии от Atsumi foundation;" 30 сентября 2020
 Atsumi foundation предлагает несколько стипендий иностранным студентам на обучение в аспирантуре в одном из вузов региона Канто.";https://st-gr.com/?p=2308
Стипендии иностранным студентам университета University of Melbourne, Австралия;" —
Университет University of Melbourne учредил международную стипендиальную программу иностранным студентам бакалавриата.";https://st-gr.com/?p=2649
Полная стипендия университета Edith Cowan University, Австралия;" 18 октября 2020
Университет Эдит Коуэн (Edith Cowan University)предлагает полные стипендии студентам, желающим обучаться на исследовательских программах магистратуры и аспирантуры университета. ";https://st-gr.com/?p=2519
Исследовательская стипендия от Facebook;" 1 октября 2020
Facebook предлагает стипендии студентам аспирантуры, которые занимаются инновационным исследованием в области компьютерных наук и инжиниринга. ";https://st-gr.com/?p=2796
Стипендии иностранным студентам университета Meiji University, Япония.;" разный для разных программ
Университет Мэйдзи (Meiji University) предлагает несколько стипендий иностранным студентам бакалавриата и магистратуры.";https://st-gr.com/?p=2507
Стипендия студентам бакалавриата университета Brigham Young University, США;" 15 декабря 2020
Brigham Young University предлагает стипендию студентам бакалавриата. Стипендию могут получить перспективные студенты. ";https://st-gr.com/?p=2582
Стипендиальная программа Гонконга, Китай;" 1 декабря 2020
Полная стипендия на обучение в аспирантуре одного из университетов Гонконга.";https://st-gr.com/?p=2618
Стипендия для женщин, обучение в Австрии;"  30 ноября 2020
Стипендия Helmut Veith Master Stipend предназначена женщинам, имеющим желание получить степень магистра в области компьютерных наук в Венском техническом университете";https://st-gr.com/?p=2085
Стипендия Оксфордского университета студентам из развивающихся стран;" 15 октября 2020
Полная стипендия на обучение в бакалавриате Оксфордского университета студентам из развивающихся стран.";https://st-gr.com/?p=2658
Стипендии от Google;" —
Google предлагает деньги на изучение таких специальностей: аналитика данных, менеджер проекта, UX дизайнер";https://st-gr.com/?p=7499
Гранты Freigeist авто-концерна Volkswagen;" 1 апреля 2021
Авто-концерн Volkswagen предлагает стипендии молодым исследователям. Стипендии доступны для проведения исследований во всех дисциплинах.";https://st-gr.com/?p=348
Исследовательская стипендия правительства Ирландии;" 29 октября 2020
Правительство Ирландии предлагает стипендии студентам магистратуры и аспирантуры на проведение исследований. ";https://st-gr.com/?p=5291
37 полных стипендий университета University of Toronto, Канада;" 30 ноября 2020
Торонтский университет (University of Toronto) предлагает полные стипендии иностранным студентам бакалавриата.";https://st-gr.com/?p=2486
Стипендия Gates университета University of Cambridge;" 3 декабря 2020, 7 января 2021
Полная стипендия на обучение в магистратуре или аспирантуре Кембриджского университета (University of Cambridge) ";https://st-gr.com/?p=2489
Стипендия университета Roskilde University для студентов магистратуры, которые не являются гражданами стран ЕС/ЕЭЗ;" 15 января 2021
Университет  Roskilde University предлагает стипендию студентам магистратуры, которые не являются гражданами стран ЕС/ЕЭЗ.";https://st-gr.com/?p=273
Полная стипендия университета Lund University, Швеция;" 15 января 2021
2 полных стипендии на обучение на программе магистратуры Industrial Design — Master’s Programme в университете Lund University, Швеция";https://st-gr.com/?p=2919
Стипендия Emile Boutmy Scholarship иностранным студентам;" 6 декабря 2020
Стипендия предназначена студентам, которые впервые поступают в университет на одну из программ бакавриата или магистратуры.";https://st-gr.com/?p=3057
Стипендиальная программа Фонда Потанина;" 20 ноября 2020/15 января 2021
Студенты и преподаватели магистратуры имеют возможность  принять участие в новом цикле стипендиального и грантового конкурсов Стипендиальной программы Владимира Потанина.";https://st-gr.com/?p=6662
Стипендия студентам бакалавриата университета Widener University, США;" —
Университет Уиндер  предлагает лимитированное количество стипендий, полностью оплачивающих обучение в бакалавриате.";https://st-gr.com/?p=2397
Стипендия иностранным студентам колледжа Berea College;" 30 ноября 2020
Берия-колледж (Berea College) предлагает стипендии своим студентам. Стипендия колледжа – помощь в оплате обучения";https://st-gr.com/?p=5630
Полная оплата обучения в магистратуре и аспирантуре во Франции — Eiffel scholarships;" 8 января 2021
Полная стипендия иностранным студентам на обучение в магистратуре и аспирантуре Франции";https://st-gr.com/?p=2973
Стипендия студентам бакалавриата университета Valparaiso University, США;" 15 декабря 2020
Университет Валпараисо (Valparaiso University) предлагает ряд стипендий иностранным студентам бакалавриата. ";https://st-gr.com/?p=2861
Стипендии университета University of Derby, Великобритания;" —
Университет University of Derby предлагает стипендии иностранным студентам бакалавриата, магистратуры и аспирантуры.  ";https://st-gr.com/?p=2787
Стипендия иностранным студентам университета Pace University, США;" —
В 2019 году 72% иностранных студентов университета Pace University получали стипендию или финансовую помощь. ";https://st-gr.com/?p=2468
Двойная магистерская степень в Окcфордском университете;" январь — март 2021
";https://st-gr.com/?p=2375
Высшее образование в Канаде со стипендией;"  15 декабря 2020
Обучение на любой программе бакалавриата университета Simon Fraser University с полной стипендией.";https://st-gr.com/?p=2969
Стипендии иностранным студентам университета Murray State University, США;" разный для разных стипендий
Университет Murray State University предлагает несколько стипендий иностранным студентам бакалавриата и магистратуры.";https://st-gr.com/?p=2365
Полная стипендия на обучение в Центре East-West Center, Гавайи, США.;" 1 декабря 2020
Центр East-West Center  предлагает стипендии на обучение в магистратуре и аспирантуре студентам из Азии, Тихоокеанского региона, России и США. ";https://st-gr.com/?p=2341
Стипендия иностранным студентам университета University of Cambridge;"  3 декабря 2020,  7 января 2021
Фонд Cambridge Trust ежегодно предлагает стипендии иностранным студентам бакалавриата, магистратуры или аспирантуры Кембриджского университета (University of Cambridge).";https://st-gr.com/?p=2405
Полная стипендия на обучение в колледже Simmons College, США;" 1 декабря 2020
Стипендия имени Гилберта и Марии Котцен  (Gilbert and Marcia Kotzen Scholars Program) — полная оплата обучения в бакалавриате и проживания во время обучения.";https://st-gr.com/?p=2216
Стипендия иностранным студентам на обучение в Японии от Atsumi foundation;" 30 сентября 2020
 Atsumi foundation предлагает несколько стипендий иностранным студентам на обучение в аспирантуре в одном из вузов региона Канто.";https://st-gr.com/?p=2308
Стипендии иностранным студентам университета University of Melbourne, Австралия;" —
Университет University of Melbourne учредил международную стипендиальную программу иностранным студентам бакалавриата.";https://st-gr.com/?p=2649
Полная стипендия университета Edith Cowan University, Австралия;" 18 октября 2020
Университет Эдит Коуэн (Edith Cowan University)предлагает полные стипендии студентам, желающим обучаться на исследовательских программах магистратуры и аспирантуры университета. ";https://st-gr.com/?p=2519
Исследовательская стипендия от Facebook;" 1 октября 2020
Facebook предлагает стипендии студентам аспирантуры, которые занимаются инновационным исследованием в области компьютерных наук и инжиниринга. ";https://st-gr.com/?p=2796
Стипендии иностранным студентам университета Meiji University, Япония.;" разный для разных программ
Университет Мэйдзи (Meiji University) предлагает несколько стипендий иностранным студентам бакалавриата и магистратуры.";https://st-gr.com/?p=2507
Стипендия студентам бакалавриата университета Brigham Young University, США;" 15 декабря 2020
Brigham Young University предлагает стипендию студентам бакалавриата. Стипендию могут получить перспективные студенты. ";https://st-gr.com/?p=2582
Стипендиальная программа Гонконга, Китай;" 1 декабря 2020
Полная стипендия на обучение в аспирантуре одного из университетов Гонконга.";https://st-gr.com/?p=2618
Стипендия для женщин, обучение в Австрии;"  30 ноября 2020
Стипендия Helmut Veith Master Stipend предназначена женщинам, имеющим желание получить степень магистра в области компьютерных наук в Венском техническом университете";https://st-gr.com/?p=2085
Стипендия Оксфордского университета студентам из развивающихся стран;" 15 октября 2020
Полная стипендия на обучение в бакалавриате Оксфордского университета студентам из развивающихся стран.";https://st-gr.com/?p=2658
Стипендии от Google;" —
Google предлагает деньги на изучение таких специальностей: аналитика данных, менеджер проекта, UX дизайнер";https://st-gr.com/?p=7499
Гранты Freigeist авто-концерна Volkswagen;" 1 апреля 2021
Авто-концерн Volkswagen предлагает стипендии молодым исследователям. Стипендии доступны для проведения исследований во всех дисциплинах.";https://st-gr.com/?p=348
Исследовательская стипендия правительства Ирландии;" 29 октября 2020
Правительство Ирландии предлагает стипендии студентам магистратуры и аспирантуры на проведение исследований. ";https://st-gr.com/?p=5291
37 полных стипендий университета University of Toronto, Канада;" 30 ноября 2020
Торонтский университет (University of Toronto) предлагает полные стипендии иностранным студентам бакалавриата.";https://st-gr.com/?p=2486
Стипендия Gates университета University of Cambridge;" 3 декабря 2020, 7 января 2021
Полная стипендия на обучение в магистратуре или аспирантуре Кембриджского университета (University of Cambridge) ";https://st-gr.com/?p=2489
100 полных стипендий на обучение в университете Stanford University, США;" 14 октября 2020
Стипендиальная программа Knight-Hennessy Scholars Program предназначена студентам, поступающим на любую программу магистратуры или аспирантуры Стэнфордского университета.";https://st-gr.com/?p=1746
Стипендиальная программа Schwarzman Scholars;" 22 сентября 20
Стипендия Schwarzman Scholars университета создана с целью подготовки следующего поколения мировых лидеров.  ";https://st-gr.com/?p=1713
Стипендия на обучение на программе магистратуры по демократии и правам человека;" 20 сентября 2020
Программа магистратуры по демократии и правам человека — инициатива университета  University of Sarajevo и университета University of Bologna.";https://st-gr.com/?p=4819
Исследовательская стипендия банка Bank for International Settlements;"  30 сентября 2020
Bank for International Settlements предлагают исследовательские стипендии ученым, которые имеют хорошую репутацию в своей специальности и чье исследование предполагает плодотворное сотрудничество с экономистами банка.";https://st-gr.com/?p=2525
Программа исследовательских визитов для преподавателей вузов;" 15 сентября 2020
Мичиганский университет предлагает преподавателям вузов провести в университете от 4 недель до 3 месяцев в рамках программы  Weiser Professional Development Awards";https://st-gr.com/?p=2124
Грант фонда Getty Foundation для ученых;" 1 октября 2020
Фонд Getty Foundation предлагает гранты ученым и писателям, которые имеют отличные показатели в разных областях. ";https://st-gr.com/?p=5119
Стипендия правительства Великобритании — Chevening Scholarships;" 3 ноября 2020
Стипендии Chevening – глобальная программа стипендий правительства Великобритании  на обучение иностранных студентов в магистратуре вузов Великобритании.";https://st-gr.com/?p=2350
Стипендия Hedley Bull университета Australia National University;" 11 ноября 2020
Австралийский национальный университет (Australia National University) предлагает полную оплату обучения на программе магистратуры международных отношений (очное обучение) —  Master of International Relations (Advanced). ";https://st-gr.com/?p=2236
Стипендии на получение степени МВА в Швейцарии;" 30 сентября 2020
Университет IMD предлагает несколько стипендий на обучение на программе МВА.";https://st-gr.com/?p=2326
Исследовательская стипендия правительства Канады;"  3 ноября 2020
Правительство Канады предлагает стипендию студентам аспирантуры — Vanier Canada Graduate Scholarships (Vanier CGS)";https://st-gr.com/?p=2039
Стипендия правительства Китая «Chinese University Program»;" 15 марта 2020
Полная стипендия на обучение в магистратуре или аспирантуре в Китае.";https://st-gr.com/?p=3303
Стипендия на обучение в Лондоне;" 4 мая 2020
Стипендия IOE полностью оплачивает обучение в университете Institute of Education, University College London и обеспечивает проживание в течении 1 года в International Students House.";https://st-gr.com/?p=911
Грант на изучение эстонского языка и культуры в Эстонии;" 19 марта 2020
Грант можно получить как на короткие языковые курсы организованные Вузами Эстонии, так и на участие в летних и зимних школах, обучение в которых проходит на английском.";https://st-gr.com/?p=466
Стипендии университета University of Kassel, Германия;" 15 марта 2020
Обучение в магистратуре университета University of Kassel со стипендией.";https://st-gr.com/?p=3620
Стипендия на обучение в Великобритании;" 3 июля 2020
Стипендия Denys Holland Scholarship создана для поддержки студентов из всех стран, которые не могут позволить высшее образование. ";https://st-gr.com/?p=1829
Стипендия World Citizen Talent Scholarship;" 31 марта 2020
Университет Hague University предлагает 3 стипендии World Citizen Talent Scholarship иностранным студентам магистратуры.";https://st-gr.com/?p=7138
Стипендии университета IGlobal University;" —
Университет IGlobal University находится в городе Аннандейл, США и предлагает несколько стипендий своим студентам.";https://st-gr.com/?p=205
Программа краткосрочных исследований Pontica Magna Program в Бухаресте, Румыния;" 19 января 2020
Pontica Magna Program — программа для молодых исследователей, профессионалов СМИ, писателей и художников из стран, расположенных вокруг Черного моря и стран постсоветского пространства.";https://st-gr.com/?p=1605
Стипендии Академии ОБСЕ;" 20 декабря 2019
Академия ОБСЕ в Бишкеке предлагает полные стипендии студентам магистратуры.";https://st-gr.com/?p=6671
Стипендия университета Hokkaido University для женщин;" 19 декабрь 2019
Женщины могут получить стипендию на обучение в магистратуре университета Hokkaido University ";https://st-gr.com/?p=1186
Стипендия правительства Китая «Chinese University Program»;" 15 марта 2020
Полная стипендия на обучение в магистратуре или аспирантуре в Китае.";https://st-gr.com/?p=3303
Стипендия на обучение в Лондоне;" 4 мая 2020
Стипендия IOE полностью оплачивает обучение в университете Institute of Education, University College London и обеспечивает проживание в течении 1 года в International Students House.";https://st-gr.com/?p=911
Грант на изучение эстонского языка и культуры в Эстонии;" 19 марта 2020
Грант можно получить как на короткие языковые курсы организованные Вузами Эстонии, так и на участие в летних и зимних школах, обучение в которых проходит на английском.";https://st-gr.com/?p=466
Стипендии университета University of Kassel, Германия;" 15 марта 2020
Обучение в магистратуре университета University of Kassel со стипендией.";https://st-gr.com/?p=3620
Стипендия на обучение в Великобритании;" 3 июля 2020
Стипендия Denys Holland Scholarship создана для поддержки студентов из всех стран, которые не могут позволить высшее образование. ";https://st-gr.com/?p=1829
Стипендия World Citizen Talent Scholarship;" 31 марта 2020
Университет Hague University предлагает 3 стипендии World Citizen Talent Scholarship иностранным студентам магистратуры.";https://st-gr.com/?p=7138
Стипендии университета IGlobal University;" —
Университет IGlobal University находится в городе Аннандейл, США и предлагает несколько стипендий своим студентам.";https://st-gr.com/?p=205
Программа краткосрочных исследований Pontica Magna Program в Бухаресте, Румыния;" 19 января 2020
Pontica Magna Program — программа для молодых исследователей, профессионалов СМИ, писателей и художников из стран, расположенных вокруг Черного моря и стран постсоветского пространства.";https://st-gr.com/?p=1605
Стипендии Академии ОБСЕ;" 20 декабря 2019
Академия ОБСЕ в Бишкеке предлагает полные стипендии студентам магистратуры.";https://st-gr.com/?p=6671
Стипендия университета Hokkaido University для женщин;" 19 декабрь 2019
Женщины могут получить стипендию на обучение в магистратуре университета Hokkaido University ";https://st-gr.com/?p=1186
Стипендия на обучение в Индии;" —
Университет Симбиозис Интернешнел  (Symbiosis International University) предлагает полную стипендию студентам из развивающихся стран на обучение в бакалавриате и магистратуре университета.";https://st-gr.com/?p=1169
Стипендия иностранным студентам университета University of Sydney, Австралия;" —
Сиднейский университет (University of Sydney) предлагает полную стипендию иностранным студентам исследовательских программ магистратуры и аспирантуры.";https://st-gr.com/?p=1645
Стипендия иностранным студентам-аспирантам университета TU Dortmund University;" 26 августа 2019
DAAD в рамках проекта STIBETI предлагает стипендии иностранным студентам аспирантуры университета TU Dortmund University";https://st-gr.com/?p=4865
Грант имени Софьи Ковалевской;" 31 июля 2019
Фонд Александра фон Гумбольдта предлагает иностранным исследователям грант имени Софьи Ковалевской. ";https://st-gr.com/?p=4852
Стипендия правительства провинции Цзилинь на обучение в Китае;" 20 июня 2019
Правительство провинции Цзилинь предлагает полную стипендию иностранным студентам, поступающим на обучение в магистратуру или аспирантуру Чанчуньского политехнического университета. ";https://st-gr.com/?p=1854
Стипендии правительства Италии;" 30 мая 2019
Правительство Италии предлагает иностранным студентам стипендии на обучение в магистратуре, аспирантуре и на курсах.";https://st-gr.com/?p=1217
Стипендии правительства Турции;" —
Правительство Турции учредило исследовательские стипендии с целью привлечь лучших иностранных студентов аспирантуры и кандидатов наук.";https://st-gr.com/?p=2298
Стипендия студентам университета Lock Haven University, США;" — 
Университет Lock Haven University предлагает иностранным студентам стипендию.";https://st-gr.com/?p=2760
Стипендиальная программа правительства Финляндии;" —
Министерство образования Финляндии предлагает стипендии студентам аспирантуры на проведение исследований в финских вузах. ";https://st-gr.com/?p=2632
Гранты и стипендии имени Кшиштофа Скубишевского;" 8 апреля 2019
Грант и стипендия имени Кшиштофа Скубишевкого предназначены на проведение краткосрочных исследований в Польше в области политологии, права и современной истории.";https://st-gr.com/?p=993
Президентская стипендия;" 3 апреля
Иностранные студенты, поступающие на первый год обучения в бакалавриат, магистратуру или аспирантуру, коллегиум, PACE or ELP могут получить президентскую стипендию университета.";https://st-gr.com/?p=511
Стипендия на обучение в магистратуре;" 20 марта
Университет University of Kent предлагает полную и частичную стипендию иностранным студентам, желающим обучаться в магистратуре правовой школы.";https://st-gr.com/?p=492
Стипендия университета Queensland University of Technology факультет Faculty of Education;" 15 февраля 2019
Факультет Faculty of Education униерситета Queensland University of Technology предлагает стипендию иностранным студентам магистратуры.";https://st-gr.com/?p=278
Исследовательская стипендия университета University of Technology Sydney, Австралия;" разный для разных программ.
Университет Текнолоджи Сидней (University of Technology Sydney) предлагает исследовательскую стипендию студентам магистратуры и аспирантуры";https://st-gr.com/?p=1985
Стипендия фонда Open Society Foundations;" 31 января 2019
Университет Central European University предлагает стипендии и гранты  студентам магистратуры и аспирантуры. ";https://st-gr.com/?p=3046
Стипендии для обучения в бакалавриате;" 15 апреля
Студенты бакалавриата университета University of Buffalo имеют возможность получить стипендию размером от 2 000$ до 10 000$ в год.";https://st-gr.com/?p=239
Стипендия иностранным студентам университета Hanken School of Economics, Финляндия;" 19 января 2019
Полная стипендия иностранным студентам магистратуры.";https://st-gr.com/?p=3127
Стипендии университета Eastern Mediterranean University, Турция;" 13 января 2019
Университет Eastern Mediterranean University предлагает 50 стипендий иностранным студентам магистратуры и аспирантуры.";https://st-gr.com/?p=3242
Стипендии иностранным студентам университета  Folkwang University, Германия;" 12 декабря 2018
Университет Folkwang University of the Arts предлагает стипендию DAAD иностранным студентам.";https://st-gr.com/?p=2057
Стипендия студентам Lakehead University, Канада;" 1 февраля 2019
Университет Lakehead University может оплатить Ваше обучение, чтобы Вам было проще учиться и Вы могли всецело сфокусироваться на обучении. ";https://st-gr.com/?p=2766
Президентская стипендия;" 3 апреля
Иностранные студенты, поступающие на первый год обучения в бакалавриат, магистратуру или аспирантуру, коллегиум, PACE or ELP могут получить президентскую стипендию университета.";https://st-gr.com/?p=511
Стипендия на обучение в магистратуре;" 20 марта
Университет University of Kent предлагает полную и частичную стипендию иностранным студентам, желающим обучаться в магистратуре правовой школы.";https://st-gr.com/?p=492
Стипендия университета Queensland University of Technology факультет Faculty of Education;" 15 февраля 2019
Факультет Faculty of Education униерситета Queensland University of Technology предлагает стипендию иностранным студентам магистратуры.";https://st-gr.com/?p=278
Исследовательская стипендия университета University of Technology Sydney, Австралия;" разный для разных программ.
Университет Текнолоджи Сидней (University of Technology Sydney) предлагает исследовательскую стипендию студентам магистратуры и аспирантуры";https://st-gr.com/?p=1985
Стипендия фонда Open Society Foundations;" 31 января 2019
Университет Central European University предлагает стипендии и гранты  студентам магистратуры и аспирантуры. ";https://st-gr.com/?p=3046
Стипендии для обучения в бакалавриате;" 15 апреля
Студенты бакалавриата университета University of Buffalo имеют возможность получить стипендию размером от 2 000$ до 10 000$ в год.";https://st-gr.com/?p=239
Стипендия иностранным студентам университета Hanken School of Economics, Финляндия;" 19 января 2019
Полная стипендия иностранным студентам магистратуры.";https://st-gr.com/?p=3127
Стипендии университета Eastern Mediterranean University, Турция;" 13 января 2019
Университет Eastern Mediterranean University предлагает 50 стипендий иностранным студентам магистратуры и аспирантуры.";https://st-gr.com/?p=3242
Стипендии иностранным студентам университета  Folkwang University, Германия;" 12 декабря 2018
Университет Folkwang University of the Arts предлагает стипендию DAAD иностранным студентам.";https://st-gr.com/?p=2057
Стипендия студентам Lakehead University, Канада;" 1 февраля 2019
Университет Lakehead University может оплатить Ваше обучение, чтобы Вам было проще учиться и Вы могли всецело сфокусироваться на обучении. ";https://st-gr.com/?p=2766
Стипендии правительства Австралии – Endeavour Scholarships;" 15 ноября 2018
Endeavour Scholarships — стипендии и гранты иностранным гражданам на обучение, проведение исследований и программы повышения квалификации в Австралии.";https://st-gr.com/?p=1555
Стипендии на обучение в Японии;" 31 октября 2018
Международный стипендиальный фонд Honjo International Scholarship Foundation предлагает стипендии иностранным студентам на обучение в университетах Японии";https://st-gr.com/?p=5374
Стипендия ВР студентам магистратуры и аспирантуры;" 30 сентября 2018
Компания BP предлагает стипендии студентам, получающим образование в сфере энергетики и экономики.";https://st-gr.com/?p=2206
Оплачиваемая программа обучения;" 7 декабря 2018
Оплачиваемая программа обучения правам человека в  Columbia University, Нью-Йорк, США";https://st-gr.com/?p=5313
Высшее образование онлайн — University of the People (UoPeople);" 4 октября 2018
Университет University of the People (UoPeople) предлагает бесплатное онлайн обучение.";https://st-gr.com/?p=1226
Стипендия правительства Финляндии;" —
Правительство Финляндии предоставляет стипендии на проведение исследований и обучения в аспирантуре гражданам определенных стран (среди перечня — Украина).";https://st-gr.com/?p=2457
Программа RiSE для молодых реформаторов;" 20 сентября 2018
Полностью оплачиваемая шестимесячная программа в Кашмире, Индия, для молодых реформаторов.";https://st-gr.com/?p=5175
Международные стипендии университета Hankuk University, Южная Корея;"  7 сентября 2018
Университет Hankuk University предлагает стипендии иностранным студентам бакалавриата";https://st-gr.com/?p=2546
Грант на обучение по программе IMI International Hospitality Management в школе бизнеса SWISSAM;" 31 августа 2018
10 грантов на обучение на программе Менеджмент международной индустрии гостеприимства. Размер гранта от от 360 000 рублей до скидки в 10% от стоимости обучения в первый год. ";https://st-gr.com/?p=5136
70 грантов на изучение менеджмента и предпринимательства в Высшей школе бизнеса МГУ;" 20 августа 2018
70 грантов, полностью покрывающих стоимость вечернего обучение менеджменту и предпринимательству студентам мехмата и ВМК МГУ ";https://st-gr.com/?p=5138
Президентская стипендия;" 3 апреля
Иностранные студенты, поступающие на первый год обучения в бакалавриат, магистратуру или аспирантуру, коллегиум, PACE or ELP могут получить президентскую стипендию университета.";https://st-gr.com/?p=511
Стипендия на обучение в магистратуре;" 20 марта
Университет University of Kent предлагает полную и частичную стипендию иностранным студентам, желающим обучаться в магистратуре правовой школы.";https://st-gr.com/?p=492
Стипендия университета Queensland University of Technology факультет Faculty of Education;" 15 февраля 2019
Факультет Faculty of Education униерситета Queensland University of Technology предлагает стипендию иностранным студентам магистратуры.";https://st-gr.com/?p=278
Исследовательская стипендия университета University of Technology Sydney, Австралия;" разный для разных программ.
Университет Текнолоджи Сидней (University of Technology Sydney) предлагает исследовательскую стипендию студентам магистратуры и аспирантуры";https://st-gr.com/?p=1985
Стипендия фонда Open Society Foundations;" 31 января 2019
Университет Central European University предлагает стипендии и гранты  студентам магистратуры и аспирантуры. ";https://st-gr.com/?p=3046
Стипендии для обучения в бакалавриате;" 15 апреля
Студенты бакалавриата университета University of Buffalo имеют возможность получить стипендию размером от 2 000$ до 10 000$ в год.";https://st-gr.com/?p=239
